X,CH1,CH2,
-4.17723e-01,5.68e-01,2.66e+00,
-4.17649e-01,6.08e-01,2.66e+00,
-4.17576e-01,6.80e-01,2.66e+00,
-4.17503e-01,6.88e-01,2.66e+00,
-4.17430e-01,5.84e-01,2.66e+00,
-4.17356e-01,5.44e-01,2.66e+00,
-4.17283e-01,6.00e-01,2.66e+00,
-4.17210e-01,6.48e-01,2.66e+00,
-4.17137e-01,7.28e-01,2.66e+00,
-4.17063e-01,6.32e-01,2.66e+00,
-4.16990e-01,6.48e-01,2.66e+00,
-4.16917e-01,6.32e-01,2.66e+00,
-4.16844e-01,6.48e-01,2.66e+00,
-4.16771e-01,6.40e-01,2.66e+00,
-4.16697e-01,6.72e-01,2.66e+00,
-4.16624e-01,6.24e-01,2.66e+00,
-4.16551e-01,6.56e-01,2.66e+00,
-4.16478e-01,6.56e-01,2.66e+00,
-4.16404e-01,6.64e-01,2.66e+00,
-4.16331e-01,6.56e-01,2.66e+00,
-4.16258e-01,6.56e-01,2.66e+00,
-4.16185e-01,6.56e-01,2.66e+00,
-4.16111e-01,6.56e-01,2.64e+00,
-4.16038e-01,6.56e-01,2.66e+00,
-4.15965e-01,6.72e-01,2.66e+00,
-4.15892e-01,6.48e-01,2.66e+00,
-4.15818e-01,6.32e-01,2.66e+00,
-4.15745e-01,6.48e-01,2.66e+00,
-4.15672e-01,6.40e-01,2.66e+00,
-4.15599e-01,6.64e-01,2.66e+00,
-4.15525e-01,6.48e-01,2.66e+00,
-4.15452e-01,6.32e-01,2.66e+00,
-4.15379e-01,6.48e-01,2.66e+00,
-4.15306e-01,6.56e-01,2.66e+00,
-4.15232e-01,6.32e-01,2.66e+00,
-4.15159e-01,6.56e-01,2.66e+00,
-4.15086e-01,6.32e-01,2.66e+00,
-4.15013e-01,6.40e-01,2.66e+00,
-4.14939e-01,6.40e-01,2.66e+00,
-4.14866e-01,6.48e-01,2.66e+00,
-4.14793e-01,6.56e-01,2.66e+00,
-4.14720e-01,6.48e-01,2.66e+00,
-4.14646e-01,6.32e-01,2.66e+00,
-4.14573e-01,6.40e-01,2.66e+00,
-4.14500e-01,6.48e-01,2.66e+00,
-4.14427e-01,6.40e-01,2.66e+00,
-4.14354e-01,6.48e-01,2.66e+00,
-4.14280e-01,6.56e-01,2.66e+00,
-4.14207e-01,6.56e-01,2.66e+00,
-4.14134e-01,6.56e-01,2.66e+00,
-4.14061e-01,6.64e-01,2.66e+00,
-4.13987e-01,6.48e-01,2.66e+00,
-4.13914e-01,6.56e-01,2.66e+00,
-4.13841e-01,6.64e-01,2.66e+00,
-4.13768e-01,6.48e-01,2.66e+00,
-4.13694e-01,6.40e-01,2.66e+00,
-4.13621e-01,6.80e-01,2.66e+00,
-4.13548e-01,8.00e-03,2.20e+00,
-4.13475e-01,1.60e-02,2.20e+00,
-4.13401e-01,4.00e-02,2.18e+00,
-4.13328e-01,8.00e-03,2.18e+00,
-4.13255e-01,0.00e+00,2.20e+00,
-4.13182e-01,8.00e-03,2.18e+00,
-4.13108e-01,0.00e+00,2.20e+00,
-4.13035e-01,0.00e+00,2.20e+00,
-4.12962e-01,0.00e+00,2.18e+00,
-4.12889e-01,1.60e-02,2.18e+00,
-4.12815e-01,0.00e+00,2.18e+00,
-4.12742e-01,8.00e-03,2.20e+00,
-4.12669e-01,1.60e-02,2.20e+00,
-4.12596e-01,8.00e-03,2.20e+00,
-4.12522e-01,0.00e+00,2.20e+00,
-4.12449e-01,1.60e-02,2.18e+00,
-4.12376e-01,8.00e-03,2.18e+00,
-4.12303e-01,1.60e-02,2.20e+00,
-4.12229e-01,1.60e-02,2.18e+00,
-4.12156e-01,1.60e-02,2.18e+00,
-4.12083e-01,8.00e-03,2.20e+00,
-4.12010e-01,8.00e-03,2.20e+00,
-4.11937e-01,8.00e-03,2.18e+00,
-4.11863e-01,8.00e-03,2.20e+00,
-4.11790e-01,8.00e-03,2.22e+00,
-4.11717e-01,1.60e-02,2.20e+00,
-4.11644e-01,8.00e-03,2.20e+00,
-4.11570e-01,1.60e-02,2.20e+00,
-4.11497e-01,1.60e-02,2.20e+00,
-4.11424e-01,1.60e-02,2.20e+00,
