X,CH1,
Second,Volt,
-6.76040e-01,8.00e-03,
-6.75940e-01,0.00e+00,
-6.75840e-01,0.00e+00,
-6.75740e-01,0.00e+00,
-6.75640e-01,0.00e+00,
-6.75540e-01,8.00e-03,
-6.75440e-01,0.00e+00,
-6.75340e-01,8.00e-03,
-6.75240e-01,8.00e-03,
-6.75140e-01,0.00e+00,
-6.75040e-01,0.00e+00,
-6.74940e-01,0.00e+00,
-6.74840e-01,8.00e-03,
-6.74740e-01,0.00e+00,
-6.74640e-01,0.00e+00,
-6.74540e-01,0.00e+00,
-6.74440e-01,0.00e+00,
-6.74340e-01,8.00e-03,
-6.74240e-01,0.00e+00,
-6.74140e-01,8.00e-03,
-6.74040e-01,8.00e-03,
-6.73940e-01,8.00e-03,
-6.73840e-01,8.00e-03,
-6.73740e-01,8.00e-03,
-6.73640e-01,0.00e+00,
-6.73540e-01,8.00e-03,
-6.73440e-01,8.00e-03,
-6.73340e-01,8.00e-03,
-6.73240e-01,8.00e-03,
-6.73140e-01,8.00e-03,
-6.73040e-01,8.00e-03,
-6.72940e-01,8.00e-03,
-6.72840e-01,1.60e-02,
-6.72740e-01,1.60e-02,
-6.72640e-01,1.60e-02,
-6.72540e-01,1.60e-02,
-6.72440e-01,3.20e-02,
-6.72340e-01,1.60e-02,
-6.72240e-01,1.60e-02,
-6.72140e-01,1.60e-02,
-6.72040e-01,1.60e-02,
-6.71940e-01,1.60e-02,
-6.71840e-01,1.60e-02,
-6.71740e-01,1.60e-02,
-6.71640e-01,1.60e-02,
-6.71540e-01,1.60e-02,
-6.71440e-01,8.00e-03,
-6.71340e-01,1.60e-02,
-6.71240e-01,1.60e-02,
-6.71140e-01,1.60e-02,
-6.71040e-01,1.60e-02,
-6.70940e-01,1.60e-02,
-6.70840e-01,1.60e-02,
-6.70740e-01,1.60e-02,
-6.70640e-01,8.00e-03,
-6.70540e-01,8.00e-03,
-6.70440e-01,8.00e-03,
-6.70340e-01,8.00e-03,
-6.70240e-01,8.00e-03,
-6.70140e-01,1.60e-02,
-6.70040e-01,8.00e-03,
-6.69940e-01,8.00e-03,
-6.69840e-01,1.60e-02,
-6.69740e-01,8.00e-03,
-6.69640e-01,8.00e-03,
-6.69540e-01,1.60e-02,
-6.69440e-01,1.60e-02,
-6.69340e-01,8.00e-03,
-6.69240e-01,8.00e-03,
-6.69140e-01,8.00e-03,
-6.69040e-01,8.00e-03,
-6.68940e-01,8.00e-03,
-6.68840e-01,8.00e-03,
-6.68740e-01,8.00e-03,
-6.68640e-01,8.00e-03,
-6.68540e-01,8.00e-03,
-6.68440e-01,8.00e-03,
-6.68340e-01,8.00e-03,
-6.68240e-01,8.00e-03,
-6.68140e-01,0.00e+00,
-6.68040e-01,8.00e-03,
-6.67940e-01,0.00e+00,
-6.67840e-01,0.00e+00,
-6.67740e-01,8.00e-03,
-6.67640e-01,8.00e-03,
-6.67540e-01,8.00e-03,
-6.67440e-01,0.00e+00,
-6.67340e-01,0.00e+00,
-6.67240e-01,8.00e-03,
-6.67140e-01,0.00e+00,
-6.67040e-01,0.00e+00,
-6.66940e-01,0.00e+00,
-6.66840e-01,0.00e+00,
-6.66740e-01,0.00e+00,
-6.66640e-01,0.00e+00,
-6.66540e-01,0.00e+00,
-6.66440e-01,0.00e+00,
-6.66340e-01,0.00e+00,
-6.66240e-01,0.00e+00,
-6.66140e-01,0.00e+00,
-6.66040e-01,0.00e+00,
-6.65940e-01,8.00e-03,
-6.65840e-01,0.00e+00,
-6.65740e-01,0.00e+00,
-6.65640e-01,8.00e-03,
-6.65540e-01,8.00e-03,
-6.65440e-01,8.00e-03,
-6.65340e-01,0.00e+00,
-6.65240e-01,8.00e-03,
-6.65140e-01,0.00e+00,
-6.65040e-01,0.00e+00,
-6.64940e-01,0.00e+00,
-6.64840e-01,8.00e-03,
-6.64740e-01,8.00e-03,
-6.64640e-01,0.00e+00,
-6.64540e-01,0.00e+00,
-6.64440e-01,8.00e-03,
-6.64340e-01,0.00e+00,
-6.64240e-01,0.00e+00,
-6.64140e-01,0.00e+00,
-6.64040e-01,8.00e-03,
-6.63940e-01,0.00e+00,
-6.63840e-01,8.00e-03,
-6.63740e-01,0.00e+00,
-6.63640e-01,8.00e-03,
-6.63540e-01,0.00e+00,
-6.63440e-01,0.00e+00,
-6.63340e-01,0.00e+00,
-6.63240e-01,0.00e+00,
-6.63140e-01,0.00e+00,
-6.63040e-01,8.00e-03,
-6.62940e-01,0.00e+00,
-6.62840e-01,0.00e+00,
-6.62740e-01,0.00e+00,
-6.62640e-01,0.00e+00,
-6.62540e-01,0.00e+00,
-6.62440e-01,8.00e-03,
-6.62340e-01,8.00e-03,
-6.62240e-01,8.00e-03,
-6.62140e-01,8.00e-03,
-6.62040e-01,8.00e-03,
-6.61940e-01,8.00e-03,
-6.61840e-01,8.00e-03,
-6.61740e-01,8.00e-03,
-6.61640e-01,8.00e-03,
-6.61540e-01,8.00e-03,
-6.61440e-01,8.00e-03,
-6.61340e-01,8.00e-03,
-6.61240e-01,1.60e-02,
-6.61140e-01,8.00e-03,
-6.61040e-01,8.00e-03,
-6.60940e-01,8.00e-03,
-6.60840e-01,1.60e-02,
-6.60740e-01,1.60e-02,
-6.60640e-01,1.60e-02,
-6.60540e-01,1.60e-02,
-6.60440e-01,1.60e-02,
-6.60340e-01,1.60e-02,
-6.60240e-01,2.40e-02,
-6.60140e-01,1.60e-02,
-6.60040e-01,2.40e-02,
-6.59940e-01,1.60e-02,
-6.59840e-01,1.60e-02,
-6.59740e-01,2.40e-02,
-6.59640e-01,2.40e-02,
-6.59540e-01,2.40e-02,
-6.59440e-01,3.20e-02,
-6.59340e-01,3.20e-02,
-6.59240e-01,3.20e-02,
-6.59140e-01,3.20e-02,
-6.59040e-01,4.00e-02,
-6.58940e-01,4.00e-02,
-6.58840e-01,4.80e-02,
-6.58740e-01,5.60e-02,
-6.58640e-01,5.60e-02,
-6.58540e-01,5.60e-02,
-6.58440e-01,7.20e-02,
-6.58340e-01,7.20e-02,
-6.58240e-01,7.20e-02,
-6.58140e-01,8.00e-02,
-6.58040e-01,8.80e-02,
